GAMEID,cluster
GAME_3279,19
GAME_6275,24
GAME_4509,1
GAME_4589,19
GAME_4660,7
GAME_6351,19
GAME_5976,19
GAME_5527,24
GAME_6005,7
GAME_5912,24
GAME_5720,24
GAME_3167,19
GAME_6691,1
GAME_5787,7
GAME_6501,24
GAME_3609,19
GAME_5164,1
GAME_2742,19
GAME_5871,0
GAME_4812,6
GAME_5405,19
GAME_6177,19
GAME_5110,24
GAME_5301,7
GAME_3749,19
GAME_5501,19
GAME_5865,19
GAME_5173,7
GAME_4118,9
GAME_5302,7
GAME_5553,24
GAME_4369,24
GAME_5206,7
GAME_5320,19
GAME_2209,19
GAME_4587,19
GAME_4120,24
GAME_5262,19
GAME_3823,20
GAME_5538,24
GAME_2674,24
GAME_4514,1
GAME_5572,24
GAME_4508,19
GAME_4657,7
GAME_3610,19
GAME_5197,7
GAME_4625,7
GAME_4875,7
GAME_4154,19
GAME_5693,7
GAME_5632,24
GAME_5727,19
GAME_3979,19
GAME_2193,7
GAME_5084,15
GAME_1452,7
GAME_5515,1
GAME_5452,9
GAME_5999,19
GAME_4957,20
GAME_1746,24
GAME_2324,1
GAME_5142,7
GAME_4685,19
GAME_3302,19
GAME_5994,19
GAME_5805,7
GAME_5861,19
GAME_2879,15
GAME_3697,24
GAME_6126,1
GAME_5808,7
GAME_5660,1
GAME_4319,7
GAME_3589,1
GAME_3819,20
GAME_4307,24
GAME_5603,24
GAME_4536,19
GAME_5358,1
GAME_4259,19
GAME_3540,19
GAME_4840,24
GAME_4121,9
GAME_3557,12
GAME_5204,7
GAME_3773,19
GAME_2174,19
GAME_6125,1
GAME_5406,24
GAME_5217,1
GAME_1803,24
GAME_2869,15
GAME_5008,19
GAME_4540,7
GAME_5732,19
GAME_5627,19
GAME_4239,24
GAME_5461,19
GAME_5023,19
GAME_4746,1
GAME_4816,6
GAME_5444,19
GAME_4817,6
GAME_5586,24
GAME_5455,9
GAME_5548,24
GAME_5589,24
GAME_4805,19
GAME_5166,1
GAME_3553,4
GAME_6178,19
GAME_6093,1
GAME_1753,19
GAME_1186,19
GAME_5413,19
GAME_5806,7
GAME_3434,19
GAME_5486,19
GAME_5030,24
