GAMEID,cluster
GAME_4498,1
GAME_10861,19
GAME_5749,6
GAME_4943,8
GAME_6665,19
GAME_5735,19
GAME_6095,1
GAME_4749,1
GAME_3809,24
GAME_4911,19
GAME_4601,17
GAME_4776,24
GAME_1182,24
GAME_3538,19
GAME_3014,19
GAME_3912,19
GAME_4398,1
GAME_4395,7
GAME_6591,19
GAME_4202,7
GAME_4557,24
GAME_3933,19
GAME_4374,1
GAME_3938,24
GAME_3254,7
GAME_4274,19
GAME_4236,9
GAME_4065,19
GAME_5344,19
GAME_3013,24
GAME_5681,18
GAME_4971,19
GAME_4257,19
GAME_4184,19
GAME_4939,24
GAME_3441,19
GAME_4337,9
GAME_4688,7
GAME_4295,19
GAME_4076,19
GAME_4187,19
GAME_5714,19
GAME_4046,22
GAME_3732,19
GAME_4898,14
GAME_4015,19
GAME_4899,14
GAME_5983,19
GAME_5240,19
GAME_5498,19
GAME_5064,1
GAME_7259,1
GAME_5990,19
GAME_2447,17
GAME_5427,24
GAME_5664,7
GAME_5256,15
GAME_4837,24
GAME_1812,24
GAME_1498,20
GAME_5682,18
GAME_3234,20
GAME_4771,1
GAME_5631,19
GAME_3730,19
GAME_5159,19
GAME_2592,11
GAME_4243,24
GAME_5304,7
GAME_4881,7
GAME_4647,1
GAME_5244,19
GAME_4245,24
GAME_2599,11
GAME_4289,24
GAME_9579,19
GAME_4891,1
GAME_3446,1
GAME_4565,7
GAME_7265,1
GAME_5562,24
GAME_12003,19
GAME_2502,19
GAME_5195,7
GAME_4001,19
GAME_3997,19
GAME_4784,24
GAME_5704,0
GAME_3296,19
GAME_3556,12
GAME_2434,19
GAME_1770,13
GAME_4292,24
GAME_3227,19
GAME_4681,24
GAME_1234,24
GAME_5811,7
GAME_4608,7
GAME_4689,7
GAME_5655,23
GAME_5639,19
GAME_4690,7
GAME_3292,19
GAME_3023,24
GAME_5974,19
GAME_3150,19
GAME_4066,19
GAME_5409,24
GAME_1771,19
GAME_5710,19
GAME_1469,7
GAME_5215,7
GAME_4682,24
GAME_4432,19
GAME_1247,19
GAME_4949,19
GAME_4654,19
GAME_5391,19
GAME_4489,19
GAME_6251,24
GAME_5245,19
GAME_4684,9
GAME_2833,24
GAME_5091,15
GAME_4575,19
GAME_4501,24
GAME_2631,9
GAME_5123,9
GAME_4405,1
GAME_4849,19
GAME_4376,24
GAME_4698,24
GAME_5734,19
GAME_3290,19
GAME_3995,7
GAME_5078,23
GAME_5260,15
GAME_4358,19
GAME_4541,19
GAME_9825,16
GAME_2580,11
GAME_4324,7
GAME_5248,19
GAME_5092,1
GAME_5300,24
GAME_4393,7
GAME_4869,24
GAME_3841,19
GAME_3542,19
GAME_2410,1
GAME_3565,12
GAME_4551,24
GAME_5776,24
GAME_2831,24
GAME_1939,19
GAME_3904,19
GAME_2843,19
GAME_5066,1
GAME_5144,7
GAME_4680,24
GAME_2672,3
GAME_5454,9
GAME_5474,1
GAME_5120,24
GAME_5124,9
GAME_5214,7
GAME_5411,24
GAME_4918,10
GAME_5663,1
GAME_4522,19
GAME_4903,14
GAME_3496,5
GAME_3251,19
GAME_3852,7
GAME_5415,19
GAME_4532,19
GAME_2681,3
GAME_5583,19
GAME_5009,19
GAME_1221,2
GAME_5512,19
GAME_5306,7
GAME_4227,1
GAME_5500,19
GAME_6188,7
GAME_5010,19
GAME_2418,19
GAME_4502,1
GAME_4050,22
GAME_4141,9
GAME_5178,7
GAME_4230,7
GAME_5024,19
GAME_1448,19
GAME_4134,24
GAME_3720,19
GAME_4584,20
GAME_3914,19
GAME_4802,24
GAME_4941,24
GAME_3264,7
GAME_3238,19
GAME_5176,7
GAME_2752,19
GAME_4580,20
GAME_3442,1
GAME_5856,24
GAME_5712,19
GAME_4780,24
GAME_3286,19
GAME_3834,19
GAME_6257,19
GAME_3287,19
GAME_4478,1
GAME_4036,19
GAME_4263,19
GAME_4576,19
GAME_3288,19
GAME_4773,1
GAME_4808,19
GAME_5738,19
GAME_4041,19
GAME_5098,1
